best_params,"{'eps': 0.53, 'metric': <function clustering_distance_metrics at 0x0000020211F8C040>, 'min_samples': 1}"
best_score,0.8167419735828491
best_labels,"[ 0  1  2  2  3  4  3  4  4  4  4  5  4  1  3  3  3  3  4  3  4  4  4  5
  1  6  7  1  6  6  4  4  6  6  6  4  2  6  6  6  7  6  1  8  4  4  1  7
  7  3  6  6  4  9  4  1  4  1  1  2  1 10 10  1  1  1  1  1 10  1]"
Cluster Label,IDs
0,['010']
1,"['030', '0C8', '150', '17E', '260', '290', '310', '360', '380', '3B4', '400', '405', '40A', '420', '435', '581']"
2,"['04A', '04B', '208', '388']"
3,"['050', '06A', '0D0', '0E0', '0F0', '0F5', '100', '2B0']"
4,"['060', '070', '080', '090', '0A0', '0C0', '0F8', '120', '130', '138', '1A0', '1B0', '200', '270', '280', '2D8', '2F0', '340']"
5,"['0B0', '140']"
6,"['160', '180', '190', '1C0', '1D0', '1E0', '210', '213', '218', '252', '2D0', '2D4']"
7,"['170', '229', '2A0', '2A5']"
8,['269']
9,['2E0']
10,"['3E2', '3EA', '455']"
