best_params,"{'eps': 1.96, 'metric': <function clustering_distance_metrics at 0x000002A82907CEE0>, 'min_samples': 1}"
best_score,0.9012221956752857
best_labels,"[0 1 2 3 2 2 4 1 1 5 1 1 1 2 1 2 5 5 1 5 5 0 5 2 2 2 5 5 5 5 5 2 1 2 0 5 2
 5 5 2 2]"
Cluster Label,IDs
0,"['039', '305', '401']"
1,"['091', '19B', '1A4', '1AA', '1B0', '1D0', '1EA', '255', '3D9']"
2,"['13C', '158', '17C', '1DC', '1ED', '320', '324', '328', '3D7', '400', '40C', '454', '465']"
3,['156']
4,['18E']
5,"['1A6', '21E', '221', '294', '295', '309', '372', '374', '377', '378', '386', '405', '428', '42D']"
